time,traj,ipca1,ipca2
17.6,48,5.7018718861604025,-6.421753120140313
17.6,49,5.492513848729641,-3.990948833351311
17.6,50,1.13962953691687,-3.2576579281718745
17.7,1,4.830958052987886,-2.9885487798207793
17.7,2,1.703874411844051,-6.486465906241923
17.7,3,4.231679058997875,-2.036812133427076
17.7,4,2.8158200513688882,-4.364725836994029
17.7,5,3.7037392102398803,-3.91270704335553
17.7,6,4.047941935129229,-2.6807798508380976
17.7,7,3.6576653512971626,-4.907843724180824
17.7,8,3.9386187747693926,-4.873306414322739
17.7,9,4.926139697561056,-3.824007925652844
17.7,10,2.650078442450397,-2.614045756998516
17.7,11,3.5290299090327615,-0.7998547581387458
17.7,12,4.243033573443174,-4.282003320237995
17.7,13,3.8214463078404703,-1.072231404376126
17.7,14,3.072202673864177,-4.337419643775317
17.7,15,4.061802546240888,-6.08433948141532
17.7,16,4.324940573754867,-4.5820363238424955
17.7,17,0.12274965085889117,-3.3504703307794057
17.7,18,2.7322367553412623,-4.947821507454871
17.7,19,3.6673155440726872,-3.8835306628518333
17.7,20,5.250551570410367,-4.376957468115638
17.7,21,1.9590563945619783,-5.978731959398814
17.7,22,2.496614069704359,-4.113339972092677
17.7,23,4.55916435123767,-6.2009291396463055
17.7,24,5.625403737238379,-4.433000808808691
17.7,25,1.5135128558634279,-1.0619693279923554
17.7,26,3.0985058106029957,-5.238433451463109
17.7,27,4.488848019313853,-3.0468165280250905
17.7,28,2.3816705717705693,-3.122060538721552
17.7,29,3.2215596358618273,-4.61304485311802
17.7,30,2.6475552043616886,-4.751755662171976
17.7,31,4.536908942165417,-3.039366306465713
17.7,32,3.718111745562381,-1.288742479088239
17.7,33,1.8853794255329175,-2.71707810259656
17.7,34,2.0830117982080245,-0.252222775550254
17.7,35,2.407370029390485,-5.134771932522123
17.7,36,3.6105201682325183,-0.24769596189598767
17.7,37,1.5013176198143114,-4.5001737603223955
17.7,38,2.134685332031687,-5.586684368706385
17.7,39,3.381812893976763,-4.822256938756936
17.7,40,1.9590406441760577,-1.9117662308899208
17.7,41,4.604928420930559,-3.490150463114317
17.7,42,4.41891705844131,-5.9827750226785685
17.7,43,2.180229303121514,-2.8582726332074677
17.7,44,2.2705215531399072,-1.5406216992649053
17.7,45,0.997653426009502,-6.2876665369976115
17.7,46,2.2902078829000168,-3.908382903104621
17.7,47,4.9595717811060975,-3.3949801237769837
17.7,48,5.694225576988528,-6.380163799259946
